User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U365,36,Other,Business Owner,Android,5.3,3.1,7,6.8,6,25,5,7.3
U366,28,Other,Student,Android,10.9,3.3,2,6.1,5,44,1,3.9
U368,52,Male,Freelancer,Android,6.8,6.2,1,6.4,8,29,6,2.3
U369,37,Male,Business Owner,iOS,11.5,5.0,8,4.3,7,36,5,11.0
U370,57,Female,Business Owner,Android,3.2,2.6,5,6.3,9,15,0,11.0
U374,60,Other,Professional,iOS,10.9,2.6,4,5.4,6,51,4,5.0
U376,37,Female,Freelancer,iOS,9.8,5.9,5,7.2,9,45,5,9.9
U378,24,Male,Business Owner,Android,3.2,6.3,10,4.8,6,43,2,11.0
U379,26,Male,Business Owner,iOS,5.6,7.6,1,5.4,6,31,2,11.6
U381,25,Male,Freelancer,Android,5.2,3.6,1,7.9,5,52,5,10.8
U383,53,Male,Business Owner,iOS,6.5,6.8,2,7.3,6,48,6,8.4
U386,36,Other,Business Owner,iOS,5.1,7.5,3,6.0,6,37,6,13.8
U387,56,Female,Business Owner,Android,4.1,4.9,2,6.8,4,60,5,12.7
U390,31,Female,Student,Android,3.4,5.9,5,5.4,4,43,5,2.9
U392,34,Other,Freelancer,Android,12.0,0.7,5,8.2,9,39,2,11.5
U396,21,Male,Student,iOS,7.9,6.8,3,5.8,6,59,2,6.7
U397,23,Female,Business Owner,iOS,3.8,3.0,9,7.7,10,54,3,11.7
U400,35,Other,Business Owner,Android,11.1,4.8,10,5.7,8,52,4,4.9
U401,20,Other,Business Owner,Android,11.3,7.7,8,7.5,8,50,0,11.7
U404,26,Other,Professional,Android,7.2,0.6,5,7.0,7,16,0,7.8
U405,58,Other,Freelancer,iOS,8.6,6.9,9,7.1,4,58,5,9.9
U407,28,Other,Business Owner,Android,5.3,5.7,8,5.6,5,18,2,2.8
U410,45,Female,Freelancer,iOS,4.4,7.8,6,5.3,5,33,1,3.6
U411,53,Other,Student,iOS,3.0,1.6,1,7.1,9,8,6,5.3
U412,18,Female,Freelancer,iOS,10.2,2.6,6,5.9,10,22,0,7.4
U414,22,Female,Freelancer,Android,9.5,1.6,5,5.0,7,36,2,3.9
U418,41,Female,Professional,Android,10.7,2.3,3,7.8,8,60,1,11.1
U421,27,Female,Professional,iOS,4.8,2.4,7,6.3,10,25,0,9.4
U422,45,Other,Professional,iOS,11.9,6.9,6,6.9,9,8,0,12.9
U423,26,Other,Student,iOS,3.3,7.9,10,7.1,4,10,1,13.6
U424,20,Male,Professional,Android,10.0,7.3,5,6.9,7,30,4,6.3
U425,37,Male,Student,Android,9.0,0.9,5,5.0,6,32,4,11.8
U426,41,Female,Freelancer,Android,6.2,5.2,7,4.6,9,55,6,5.8
U428,40,Female,Student,iOS,10.7,3.8,9,8.3,7,30,3,5.8
U429,31,Male,Freelancer,iOS,8.6,0.6,5,7.5,7,40,1,7.5
U431,60,Male,Freelancer,Android,9.9,7.9,10,6.7,8,6,2,8.3
U432,24,Male,Freelancer,Android,6.1,1.4,6,5.2,8,6,5,11.4
U433,40,Other,Professional,iOS,5.2,7.2,8,8.5,7,41,5,10.1
U436,57,Male,Business Owner,Android,4.9,3.5,7,4.0,6,18,3,5.5
U438,33,Male,Student,iOS,7.0,2.1,2,4.1,7,41,4,12.9
U439,28,Other,Student,iOS,6.7,3.6,10,8.3,5,19,3,12.8
U442,19,Other,Professional,Android,4.8,7.6,3,5.4,5,34,6,8.1
U443,29,Male,Freelancer,Android,4.2,6.8,2,5.6,10,45,5,11.2
U444,39,Other,Student,Android,7.3,7.4,4,4.1,10,25,6,4.8
U445,44,Male,Business Owner,iOS,6.0,7.1,4,7.2,8,33,1,8.8
U446,60,Male,Business Owner,iOS,11.8,1.3,8,6.8,8,42,0,9.5
U448,35,Female,Business Owner,iOS,3.7,7.0,7,4.2,9,54,1,4.0
U449,28,Other,Business Owner,iOS,8.7,5.7,9,5.4,8,15,4,2.4
U451,42,Female,Student,Android,4.9,4.5,8,5.0,4,36,4,4.7
U452,20,Male,Business Owner,iOS,3.4,4.9,10,7.0,9,25,1,6.7
U453,48,Female,Freelancer,Android,9.9,7.6,3,5.4,6,9,2,13.9
U454,32,Male,Professional,Android,4.3,5.5,8,4.5,4,9,5,10.3
U455,30,Female,Freelancer,iOS,7.9,3.8,2,6.8,4,34,4,13.9
U456,47,Male,Student,iOS,5.2,2.2,6,6.7,7,37,3,13.6
U457,40,Other,Business Owner,Android,6.4,0.8,2,4.1,9,32,3,10.0
U458,37,Male,Freelancer,iOS,6.8,5.4,6,8.9,6,43,1,6.7
U459,32,Other,Business Owner,Android,8.0,5.5,1,4.4,5,14,4,2.2
U461,19,Female,Professional,Android,10.8,6.0,5,4.0,5,7,5,3.6
U462,60,Female,Professional,Android,11.2,4.8,4,4.3,6,57,0,13.2
U463,30,Other,Freelancer,Android,8.4,5.8,9,5.1,7,55,4,7.8
U466,35,Female,Freelancer,iOS,9.1,3.2,6,4.4,9,16,6,2.1
U468,35,Other,Student,Android,11.0,2.7,9,5.3,10,5,6,4.4
U469,40,Other,Freelancer,iOS,4.4,6.9,5,6.7,4,36,2,11.6
U470,59,Other,Freelancer,Android,4.6,5.7,1,6.4,4,53,5,2.8
U471,50,Other,Student,iOS,6.1,1.4,9,7.0,7,59,1,3.0
U475,19,Male,Business Owner,Android,5.2,2.3,1,8.4,6,9,3,3.3
U476,25,Male,Student,iOS,11.6,3.6,5,4.1,7,39,3,12.7
U477,34,Female,Professional,Android,6.1,0.9,10,5.2,10,18,1,5.1
U479,55,Other,Business Owner,iOS,10.7,6.3,4,8.2,4,21,3,6.1
U481,20,Female,Professional,Android,11.6,5.7,1,5.3,8,40,4,8.3
U482,24,Male,Business Owner,Android,7.7,6.5,5,7.4,7,40,4,6.3
U484,45,Other,Freelancer,Android,3.3,1.3,3,5.6,7,57,5,8.6
U487,45,Male,Freelancer,Android,5.8,1.7,4,8.1,8,27,0,7.2
U488,56,Other,Business Owner,Android,8.4,2.5,10,7.3,7,51,6,12.5
U491,42,Other,Professional,Android,10.4,5.4,9,4.2,4,53,3,6.6
U493,30,Female,Student,Android,11.9,7.9,2,7.4,8,47,5,11.8
U497,18,Female,Freelancer,Android,10.5,4.8,8,4.0,4,37,5,7.5
U498,51,Other,Student,iOS,5.6,7.1,9,4.1,8,37,5,10.3
U499,52,Other,Professional,Android,3.6,7.3,7,9.0,7,8,6,3.4
U506,39,Female,Professional,iOS,6.3,3.5,8,4.6,6,30,4,11.0
U507,57,Female,Student,Android,4.6,7.0,2,4.8,6,30,2,5.1
U511,37,Other,Student,iOS,7.5,3.1,8,8.1,6,20,0,5.6
U512,50,Other,Professional,iOS,9.9,3.2,6,6.9,8,54,6,3.1
U513,37,Female,Business Owner,Android,4.2,2.8,1,4.6,6,20,6,8.4
U516,38,Other,Student,iOS,9.9,4.3,10,5.0,5,43,4,2.2
U519,53,Other,Student,iOS,4.9,3.4,9,7.7,10,19,4,9.0
U520,26,Male,Business Owner,Android,10.4,1.9,10,5.3,6,55,4,13.6
U521,30,Male,Business Owner,Android,10.7,6.2,7,7.8,4,12,3,4.4
U522,44,Female,Business Owner,Android,10.9,2.6,6,5.4,8,25,3,9.0
U523,60,Other,Freelancer,Android,10.4,5.1,6,4.6,8,50,5,9.9
U524,42,Other,Business Owner,iOS,9.7,1.4,2,8.8,4,48,0,4.7
U525,29,Male,Business Owner,iOS,9.4,3.3,3,6.1,8,50,6,5.6
U526,57,Other,Student,iOS,7.7,5.1,4,6.6,6,47,0,4.2
U527,54,Female,Freelancer,iOS,8.8,7.2,5,7.0,6,48,4,10.4
U528,37,Female,Business Owner,iOS,7.9,3.1,9,8.5,9,28,6,6.4
U530,53,Female,Professional,iOS,4.6,5.9,6,8.3,10,43,3,12.2
U531,18,Female,Student,Android,3.5,6.3,3,6.3,5,58,4,2.4
U534,31,Male,Student,Android,10.1,5.1,8,6.7,9,10,4,12.7
U535,45,Female,Student,iOS,3.1,1.5,3,7.3,4,45,1,11.2
U537,56,Female,Student,iOS,9.2,3.0,3,8.7,5,7,3,10.9
U540,47,Female,Business Owner,iOS,4.0,6.8,2,4.3,7,17,0,6.8
U543,31,Female,Professional,Android,5.0,4.0,2,4.4,7,39,2,7.9
U544,50,Female,Student,Android,5.1,4.4,5,4.9,10,58,6,5.9
U546,28,Male,Student,iOS,10.1,7.4,5,8.8,8,8,3,4.6
U547,60,Other,Student,iOS,9.3,3.1,4,6.9,4,31,5,8.0
U548,23,Female,Business Owner,Android,11.3,6.7,1,7.0,9,33,4,12.4
U549,36,Female,Business Owner,Android,4.9,6.7,7,8.5,10,49,2,6.4
U553,57,Female,Freelancer,iOS,5.3,4.3,1,7.4,7,6,5,9.3
U556,33,Male,Professional,Android,10.3,7.7,8,8.1,5,13,5,4.9
U558,32,Other,Business Owner,iOS,8.3,4.3,10,6.6,8,57,5,2.5
U561,19,Male,Freelancer,Android,7.8,5.9,1,5.5,6,35,4,12.9
U562,20,Male,Business Owner,iOS,6.8,4.3,4,6.5,9,23,1,5.6
U563,33,Female,Freelancer,Android,10.7,5.1,8,7.0,7,22,5,12.4
U565,57,Male,Student,iOS,3.8,3.5,3,8.9,10,31,6,5.3
U566,22,Other,Freelancer,Android,10.5,4.8,6,5.9,9,59,0,5.1
U569,58,Female,Freelancer,iOS,11.3,2.8,4,7.9,6,43,6,3.3
U572,42,Other,Professional,Android,4.7,7.5,4,4.8,5,34,0,9.6
U573,49,Male,Professional,Android,10.5,2.2,10,6.4,7,7,5,8.0
U575,33,Male,Professional,Android,9.3,7.7,9,7.2,9,58,4,3.0
U576,27,Male,Student,Android,3.6,7.9,6,8.4,6,8,5,3.9
U577,59,Male,Professional,Android,10.5,0.5,5,4.2,9,48,6,8.3
U579,24,Female,Professional,iOS,4.0,1.2,4,8.0,6,36,5,2.9
U580,45,Other,Student,iOS,6.7,7.2,2,7.3,10,49,6,7.5
U582,29,Other,Business Owner,Android,11.5,3.4,7,6.2,7,44,2,8.8
U585,21,Male,Freelancer,Android,11.6,7.9,2,8.5,5,29,2,13.5
U592,60,Male,Business Owner,iOS,6.1,7.0,8,8.3,6,44,6,9.6
U593,51,Other,Student,iOS,8.2,6.9,4,7.1,8,46,4,11.3
U596,38,Male,Business Owner,iOS,3.1,1.6,5,4.8,10,8,6,9.2
U597,46,Female,Business Owner,Android,6.4,6.2,3,6.0,6,8,4,9.6
U598,57,Male,Freelancer,iOS,4.5,7.8,2,6.1,8,56,6,9.0
U599,50,Male,Freelancer,Android,7.6,2.2,10,7.7,10,25,2,4.7
U600,45,Female,Student,Android,8.9,2.7,9,7.9,6,51,1,7.8
U601,53,Male,Business Owner,iOS,5.0,7.2,5,5.7,9,56,1,2.2
U602,46,Male,Business Owner,iOS,10.0,2.7,3,7.8,5,55,2,8.4
U603,28,Female,Professional,Android,4.6,0.6,6,7.2,10,21,0,8.2
U606,34,Other,Freelancer,Android,3.5,2.7,6,5.5,8,14,0,13.6
U607,33,Male,Freelancer,iOS,3.7,4.3,10,5.0,7,56,2,9.8
U608,58,Male,Freelancer,iOS,8.7,1.0,7,4.5,4,37,4,5.6
U609,35,Female,Business Owner,iOS,10.8,4.8,6,4.6,6,10,5,12.2
